episode,reward,avg50,avg100,epsilon,steps
1,-196.76,-196.76,-196.76,1.0,114
2,-106.95,-151.85,-151.85,0.99501,76
3,-434.94,-246.22,-246.22,0.99005,92
4,-141.45,-220.02,-220.02,0.98511,88
5,-77.13,-191.45,-191.45,0.9802,63
6,-94.06,-175.21,-175.21,0.97531,115
7,-92.39,-163.38,-163.38,0.97045,90
8,-98.97,-155.33,-155.33,0.96561,109
9,-106.55,-149.91,-149.91,0.96079,66
10,-213.63,-156.28,-156.28,0.956,119
11,-127.08,-153.63,-153.63,0.95123,71
12,-126.59,-151.38,-151.38,0.94649,91
13,-95.12,-147.05,-147.05,0.94176,72
14,-102.97,-143.9,-143.9,0.93707,85
15,-102.42,-141.13,-141.13,0.93239,72
16,-191.76,-144.3,-144.3,0.92774,132
17,-115.96,-142.63,-142.63,0.92312,74
18,-199.21,-145.78,-145.78,0.91851,87
19,-165.49,-146.81,-146.81,0.91393,110
20,-71.39,-143.04,-143.04,0.90937,115
21,-82.98,-140.18,-140.18,0.90484,90
22,-182.76,-142.12,-142.12,0.90032,85
23,-81.16,-139.47,-139.47,0.89583,85
24,-177.4,-141.05,-141.05,0.89137,103
25,-154.29,-141.58,-141.58,0.88692,106
26,-283.7,-147.04,-147.04,0.8825,121
27,-209.38,-149.35,-149.35,0.8781,107
28,-154.09,-149.52,-149.52,0.87372,101
29,-237.25,-152.55,-152.55,0.86936,95
30,-82.14,-150.2,-150.2,0.86502,103
31,-75.26,-147.78,-147.78,0.86071,93
32,-339.4,-153.77,-153.77,0.85642,129
33,-158.51,-153.91,-153.91,0.85214,148
34,-89.41,-152.02,-152.02,0.84789,67
35,-249.52,-154.8,-154.8,0.84366,82
36,-93.87,-153.11,-153.11,0.83946,81
37,-62.68,-150.67,-150.67,0.83527,125
38,-135.59,-150.27,-150.27,0.8311,67
39,-72.74,-148.28,-148.28,0.82696,95
40,-172.33,-148.88,-148.88,0.82283,123
41,-151.66,-148.95,-148.95,0.81873,71
42,-105.2,-147.91,-147.91,0.81465,125
43,-157.3,-148.13,-148.13,0.81058,103
44,-170.77,-148.64,-148.64,0.80654,130
45,-143.48,-148.53,-148.53,0.80252,118
46,-80.61,-147.05,-147.05,0.79852,71
47,-171.44,-147.57,-147.57,0.79453,79
48,-103.11,-146.64,-146.64,0.79057,89
49,-100.81,-145.71,-145.71,0.78663,128
50,-122.84,-145.25,-145.25,0.7827,96
51,-139.06,-144.1,-145.13,0.7788,110
52,-86.17,-143.68,-144.0,0.77492,142
53,-104.9,-137.08,-143.26,0.77105,87
54,-269.29,-139.64,-145.59,0.76721,130
55,-320.22,-144.5,-148.77,0.76338,139
56,-120.38,-145.02,-148.26,0.75957,124
57,-224.34,-147.66,-149.59,0.75578,85
58,-150.26,-148.69,-149.61,0.75201,87
59,-135.02,-149.26,-149.36,0.74826,192
60,-57.08,-146.13,-147.82,0.74453,77
61,-251.4,-148.61,-149.52,0.74082,107
62,-147.7,-149.04,-149.49,0.73712,143
63,11.54,-146.9,-146.93,0.73345,141
64,-81.02,-146.46,-145.9,0.72979,92
65,-74.22,-145.9,-144.8,0.72615,97
66,-75.58,-143.58,-143.75,0.72253,71
